id,siren,name,brand_name,description,address,city,postal_code,country,phone,website,logo,siret,ceo_name,ape,founded_date,turnover_2022,gouv_searched,gouv_street,gouv_city,gouv_postal_code,gouv_country,gouv_lat,gouv_lng
296,342837416,CLAIRE'S France,CLAIRE'S,,10 AVENUE KLEBER,PARIS,75116,,,,,34283741603023,Richard FLINT,4778C,1987-10-21,96601118.0,1,Avenue Kléber,Paris,75016,,48.871884,2.293376
337,398330357,CL DISTRIBUTION,ODUO COLLECTIONS,,17 RUE MARGUERITE YOURCENAR,DIJON,21000,,,,,39833035700862,Jean-marc LASSELIN,4771Z,1994-09-01,54537506.0,1,Rue Marguerite Yourcenar,Dijon,21000,,47.351811,5.055991
458,67803452,CLINIQUE DE PROVENCE-BOURBONNE,CLINIQUE DE PROVENCE-BOURBONNE,,ROUTE NATIONALE 23,AUBAGNE,49170,,,,,6780345200019,Cyrille SZYMKOWICZ,8610Z,1968-01-01,,0,,,,,,
321,377870100,CLINIQUE DES TROIS CYPRES,CLINIQUE VALMONT,,BOULEVARD DES CANDOLLES,LA PENNE-SUR-HUVEAUNE,13821,,,,,37787010000023,Gérard PICHENOT,8610Z,1990-05-01,9797137.0,1,Boulevard des Candolles,La Penne-sur-Huveaune,13821,,43.280114,5.50832
176,958805806,CLINIQUE MOZART CHIR AMBULATOIRE ESTHETI,CLINIQUE MOZART CENTRE DE CHIRURGIE AMBULATOIRE ET DE CHIRURGIEESTHETIQUE,,17 AVENUE AUBER,NICE,06000,,,,,95880580600014,BOUCQ DENIS,8610Z,1958-01-01,222800.0,1,Avenue Auber,Nice,06000,,43.701075,7.261544
457,65804064,CLINIQUE SAINT MARTIN,CLINIQUE SAINT MARTIN,,ROUTE DE TOULON,MARSEILLE,13400,,,,,6580406400049,Francois GIOCANTI,8610Z,1967-01-01,,0,,,,,,
175,955802061,CMC,MALONGO,,RUE ZI 9EME RUE,CARROS,06510,,,,,95580206100106,Hugo ROMBOUTS,1083Z,1955-01-01,105751200.0,0,,,,,,
283,337953459,COMADIM BNP PARIBAS REAL ESTATE PROPERTY MANAGEMENT FRANCE SAS,BNP PARIBAS REAL ESTATE PROPERTY MANAGEMENT FRANCE SAS ,,50 COURS DE L'ILE SEGUIN,BOULOGNE-BILLANCOURT,92100,,,,,33795345900506,Csongor CSUKAS,6832A,1986-06-05,48960142.0,1,Cours de l'Ile Seguin,Boulogne-Billancourt,92100,,48.827741,2.234805
336,397624545,COMPAGNIE INTERNATIONALE DE MAINTENANCE ET D ASSISTANCE TECHNIQUE SARTEC,COMPAGNIE INTERNATIONALE DE MAINTENANCE ET D ASSISTANCE TECHNIQUE SARTEC,,40 AVENUE JOSE NOBRE,MARTIGUES,13500,,,,,39762454500109,FOS SERVICE LEVAGE FOSELEV,3312Z,1994-06-23,21903957.0,1,Avenue Jose Nobre,Martigues,13500,,43.399064,5.035681
335,396720310,COMTESSE DU BARRY,COMTESSE DU BARRY,,ROUTE DU TOUGET,GIMONT,32200,,,,,39672031000137,MVVH,1012Z,1967-09-22,19243152.0,1,Route de Touget,Gimont,32200,,43.627484,0.886539
